Tract,Council,OwnDate,LnSalePrice,SalePrice,PropAddr,PropCity,PropZip,PropDate,Acres,LUDesc,FinishArea,NAME10,CoreBin,Quarter,TimeBin,BuildTimeCensus01,Year,PropYear,SaleYear,Age,QuarterByYear,MonthByYear,Quarter1,PopulationTract,PrcntWhite,%Black(onerace),Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,BAorHigher,BuildPreTrt
37016400,18,2020-02-27,0.0,0,1810 BELCOURT AVE,NASHVILLE,37212,2014-04-09,0.44,APARTMENT: HIGH RISE (3 STORIES OR GREATER),55890,164.0,0,"2020,1",1,109.0,2020,2014,2020,6,1,2,81,4402.0,84.3836886,6.394810009,0,0.18,0.71,0.11,0.61,14
37019500,19,2020-12-21,0.0,0,200 21ST AVE S,NASHVILLE,37203,2014-06-20,1.85,APARTMENT: HIGH RISE (3 STORIES OR GREATER),780427,195.0,0,"2020,4",1,462.0,2020,2014,2020,6,4,12,84,5916.0,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37019500,19,2015-06-05,0.0,0,111 17TH AVE S,NASHVILLE,37203,2015-07-28,1.28,APARTMENT: HIGH RISE (3 STORIES OR GREATER),510103,195.0,0,"2015,2",1,462.0,2015,2015,2015,0,2,6,62,5916.0,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37019500,19,2015-09-10,0.0,0,818 19TH AVE S,NASHVILLE,37203,2015-11-04,0.98,APARTMENT: HIGH RISE (3 STORIES OR GREATER),529415,195.0,0,"2015,3",1,462.0,2015,2015,2015,0,3,9,63,5916.0,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37014200,21,2015-12-21,0.0,0,1903 JEFFERSON ST,NASHVILLE,37208,2016-01-27,0.66,APARTMENT: HIGH RISE (3 STORIES OR GREATER),25708,142.0,0,"2015,4",1,150.0,2015,2016,2015,0,4,12,64,2249.0,4.602888087,93.18592058,0.07,0.18,0.73,0.02,0.14,9
37019300,6,2019-11-06,0.0,0,120 S 5TH ST,NASHVILLE,37206,2016-03-17,2.17,APARTMENT: HIGH RISE (3 STORIES OR GREATER),342539,193.0,0,"2019,4",1,92.0,2019,2016,2019,3,4,11,80,3523.0,18.69654969,80.33028605,0.47,0.35,0.18,0,0.1,4
37016600,21,2020-12-30,0.0,0,121 30TH AVE N,NASHVILLE,37203,2017-08-14,0.17,APARTMENT: HIGH RISE (3 STORIES OR GREATER),13478,166.0,0,"2020,4",1,175.0,2020,2017,2020,3,4,12,84,2436.0,74.06630298,10.49097776,0.03,0.24,0,0.74,0.67,13
37015900,17,2018-07-17,0.0,0,60 LESTER AVE,NASHVILLE,37210,2018-06-07,2.72,APARTMENT: HIGH RISE (3 STORIES OR GREATER),282109,159.0,0,"2018,3",1,116.0,2018,2018,2018,0,3,7,75,2864.0,75.76192184,17.38974543,0.1,0.09,0.73,0.09,0.16,4
37016100,17,2019-08-15,0.0,0,461 HUMPHREYS ST,NASHVILLE,37203,2019-12-19,0.89,APARTMENT: HIGH RISE (3 STORIES OR GREATER),51026,161.0,0,"2019,3",1,606.0,2019,2019,2019,0,3,8,79,2047.0,39.60199005,52.08955224,0.21,0.19,0.51,0.09,0.08,8
37019500,19,2016-12-19,0.0,0,120 20TH AVE S,NASHVILLE,37203,2021-10-12,1.94,APARTMENT: HIGH RISE (3 STORIES OR GREATER),385012,195.0,0,"2016,4",1,462.0,2016,2021,2016,0,4,12,68,5916.0,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37019200,6,2013-06-28,6.90875477931522,1000,715 WOODLAND ST,NASHVILLE,37206,2013-07-01,1.0,APARTMENT: HIGH RISE (3 STORIES OR GREATER),84333,192.0,0,"2013,2",1,562.0,2013,2013,2013,0,2,6,54,3497.0,60.87463557,35.30612245,0.22,0.34,0.34,0.1,0.37,36
37019500,19,2001-12-19,13.507627138738266,735000,1101 LAUREL ST,NASHVILLE,37203,2006-02-07,0.43,APARTMENT: HIGH RISE (3 STORIES OR GREATER),49123,195.0,1,"2001,4",0,58.42622950819673,2001,2006,2001,0,4,12,8,5916.0,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37019400,19,2008-07-31,14.058457520888082,1275000,1100 4TH AVE N,NASHVILLE,37208,2008-10-24,1.12,APARTMENT: HIGH RISE (3 STORIES OR GREATER),51702,194.0,0,"2008,3",0,160.672131147541,2008,2008,2008,0,3,7,35,3639.0,38.68266816,59.14038515,0.01,0.28,0.54,0.17,0.34,99
37019500,19,2013-12-30,14.316286451937186,1650000,162 3RD AVE N,NASHVILLE,37201,1962-11-14,0.21,APARTMENT: HIGH RISE (3 STORIES OR GREATER),43575,195.0,1,"2013,4",1,462.0,2013,1962,2013,51,4,12,56,5916.0,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37016200,17,2004-06-30,14.914123179965662,3000000,1195 WEDGEWOOD AVE,NASHVILLE,37203,1973-03-20,2.98,APARTMENT: HIGH RISE (3 STORIES OR GREATER),94518,162.0,0,"2004,2",0,19.475409836065577,2004,1973,2004,31,2,6,18,3299.0,25.55900621,71.64596273,0.22,0.42,0.32,0.04,0.2,12
37019400,19,2012-12-10,15.429936210914368,5025000,1515 5TH AVE N,NASHVILLE,37208,2013-02-12,5.18,APARTMENT: HIGH RISE (3 STORIES OR GREATER),469544,194.0,0,"2012,4",1,1045.0,2012,2013,2012,0,4,12,52,3639.0,38.68266816,59.14038515,0.01,0.28,0.54,0.17,0.34,99
